Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13
 Markus Lanz 09.02.2021,1487,14,16,09.02.2021,077'06,22:46:02 - 00:03:08," 22:46:02 - 00:03:08 077'06 O-Ton Interview Markus LANZ mit den Studiogästen Boris HERRMANN (Profisegler), Prof. Dr. Timo ULRICHS (Epidemiologe, Akkon Hochschule für Humanwissenschaften), Diana ZIMMERMANN (Leiterin ZDF-Studio London, Zuschaltung ",Boris HERRMANN,Profisegler,Timo ULRICHS,"Epidemiologe, Akkon Hochschule für Humanwissenschaften",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.02.2021,1488,14,17,10.02.2021,075'42,23:35:56 - 00:51:38," 23:35:56 - 00:51:38 075'42 O-Ton Interview Markus LANZ mit den Studiogästen Peter TSCHENTSCHER (Erster Bgm Hamburg, SPD), Eva QUADBECK (Journalistin, Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""), Dr. Svenja FLAßPÖHLER (Philosophin, Journalistin) und Prof. Helga RÜBSAMEN-SCHAEFF (Virologin) ",Peter TSCHENTSCHER,"Erster Bgm Hamburg, SPD",Eva QUADBECK,"Journalistin, Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""",Svenja FLAßPÖHLER,"Philosophin, Journalistin",Helga RÜBSAMEN-SCHAEFF,Virologin,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.02.2021,1489,14,18,11.02.2021,076'36,22:44:07 - 00:00:43," 22:44:07 - 00:00:43 076'36 O-Ton Interview Markus LANZ mit den Studiogästen Markus SÖDER (Mpr Bayern, CSU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.02.2021,1490,14,19,16.02.2021,075'12,22:45:47 - 00:00:59," 22:45:47 - 00:00:59 075'12 O-Ton Interview Markus LANZ mit den Studiogästen Corinna MILBORN (Journalistin, Österreich, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 17.02.2021,1491,14,20,17.02.2021,074'45,23:15:04 - 00:29:49," 23:15:04 - 00:29:49 074'45 O-Ton Interview Markus LANZ mit den Studiogästen Prof. Dr. Thorsten LEHR (Pharmazeut, Professor für Klinische Pharmazie an der Universität des Saarlandes), Prof. Christiane WOOPEN (Medizinethikerin, Vorsitzende Europäischer Ethikrat), Carsten LINNEMANN (Vors Mittelstands- und Wirtschaftsunion, CDU), Markus FELDENKIRCHEN (Journalist ""Der Spiegel"") und Anna BÖLLING (Landrätin, Kreis Minden-Lübbecke, Zuschaltung ",Thorsten LEHR,"Pharmazeut, Professor für Klinische Pharmazie an der Universität des Saarlandes",Christiane WOOPEN,"Medizinethikerin, Vorsitzende Europäischer Ethikrat",Carsten LINNEMANN,"Vors Mittelstands- und Wirtschaftsunion, CDU",Markus FELDENKIRCHEN,"Journalist ""Der Spiegel""",,,,,,,,,,,,,,,,,,
 Markus Lanz 18.02.2021,1492,14,21,18.02.2021,076'13,23:18:58 - 00:35:11," 23:18:58 - 00:35:11 076'13 O-Ton Interview Markus LANZ mit den Studiogästen Jürgen TRITTIN (Bündnis 90 / Die Grünen), Thea DORN (Philosophin, Autorin, Moderatorin ""Das Literarische Quartett""), Thielko GRIEß (Journalist ""Deutschlandradio"", Zuschaltung ",Jürgen TRITTIN,Bündnis 90 / Die Grünen,Thea DORN,"Philosophin, Autorin, Moderatorin ""Das Literarische Quartett""",,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.02.2021,1493,14,22,23.02.2021,075'35,22:45:28 - 00:01:03," 22:45:28 - 00:01:03 075'35 O-Ton Interview Markus LANZ mit den Studiogästen Thomas DE MAIZIERE (ehem. BMI, CDU), Martin KNOBBE (Journalist ""Der Spiegel"", Leiter Ressort Politik), Marlis TEPE (Vors Gewerkschaft Erziehung und Wissenschaft (GEW)), Prof. Dr. Alexander KEKULE (Virologe, Prof. für Medizinische Mikrobiologie und Virologie an der Martin-Luther-Universität Halle-Wittenberg, Direktor vom Institut für Medizinische Mikrobiologie am Universitätsklinikum Halle (Saale)) und Michael BEWERUNGE (Leiter ZDF-Studio Tel Aviv, Zuschaltung ",Thomas DE,"ehem. BMI, CDU",Martin KNOBBE,"Journalist ""Der Spiegel"", Leiter Ressort Politik",Marlis TEPE,GEW,Vors Gewerkschaft E,GEW,Alexander KEKULE,Saale,Medizinische M,Saale,Universität H,Saale,Medizinische M,Saale,Universitätsklinikum H,Saale,,,,,,,,
 Markus Lanz 24.02.2021,1494,14,23,24.02.2021,075'26,23:13:11 - 00:28:37, 23:13:11 - 00:28:37 075'26 O-Ton Interview Markus LANZ mit den Studiogästen Karl LAUTERBACH (Prof. für Epidemiologie und Gesundheitsökonomie,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.02.2021,1495,14,24,25.02.2021,077'19,23:19:58 - 00:37:17," 23:19:58 - 00:37:17 077'19 O-Ton Interview Markus LANZ mit den Studiogästen Diana ZIMMERMANN (Leiterin ZDF-Studio London, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.03.2021,1496,14,25,02.03.2021,075'19,22:49:09 - 00:04:28," 22:49:09 - 00:04:28 075'19 O-Ton Interview Markus LANZ mit den Studiogästen Elmar THEVEßEN (Leiter ZDF-Studio Washington, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.03.2021,1497,14,26,03.03.2021,076'24,23:54:39 - 01:11:03," 23:54:39 - 01:11:03 076'24 O-Ton Interview Markus LANZ mit den Studiogästen Robin ALEXANDER (Journalist, stellv. Chefredakteur ""Die Welt""), Dr. Daniel STELTER (Ökonom, Autor), Sebastian REMELE (OB Schweinfurt, CSU) und Dr. Jana SCHROEDER (Virologin",Robin ALEXANDER,"Journalist, stellv. Chefredakteur ""Die Welt""",Daniel STELTER,"Ökonom, Autor",Sebastian REMELE,"OB Schweinfurt, CSU",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.03.2021,1498,14,27,04.03.2021,075'53,23:22:33 - 00:38:26," 23:22:33 - 00:38:26 075'53 O-Ton Interview Markus LANZ mit den Studiogästen BMF Olaf SCHOLZ (SPD), Kristina DUNZ (Journalistin, stellv. Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""), Claus Ruhe MADSEN (OB Rostock, parteilos) und Kai KUPFERSCHMIDT (Molekularbiologe, Wissenschaftsjournalist) ",Olaf SCHOLZ,SPD,Kristina DUNZ,"Journalistin, stellv. Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""",Claus Ruhe MADSEN,"OB Rostock, parteilos",Kai KUPFERSCHMIDT,"Molekularbiologe, Wissenschaftsjournalist",,,,,,,,,,,,,,,,,,
 Markus Lanz 09.03.2021,1499,14,28,09.03.2021,075'19,22:46:06 - 00:01:25," 22:46:06 - 00:01:25 075'19 O-Ton Interview Markus LANZ mit den Studiogästen BMF Ralph BRINKHAUS (Fraktionsvors. CDU/CSU), Sascha LOBO (Journalist, Blogger), Dr. Tankred STÖBE (Internist, Vorstandsmitglied ""Ärzte ohne Grenzen"") und Prof. Mariam KLOUCHE (Laborärztin) ",Ralph BRINKHAUS,Fraktionsvors. CDU/CSU,Sascha LOBO,"Journalist, Blogger",Tankred STÖBE,"Internist, Vorstandsmitglied ""Ärzte ohne Grenzen""",Mariam KLOUCHE,Laborärztin,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.03.2021,1500,14,29,10.03.2021,076'29,23:17:23 - 00:33:52," 23:17:23 - 00:33:52 076'29 O-Ton Interview Markus LANZ mit den Studiogästen Michael MÜLLER (RBm Berlin, SPD, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 16.03.2021,1502,14,31,16.03.2021,077'06,23:46:41 - 01:03:47," 23:46:41 - 01:03:47 077'06 O-Ton Interview Markus LANZ mit den Studiogästen Winfried KRETSCHMANN (MPr Baden-Württemberg, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 17.03.2021,1503,14,32,17.03.2021,076'19,23:12:58 - 00:29:17," 23:12:58 - 00:29:17 076'19 O-Ton Interview Markus LANZ mit den Studiogästen Christoph RÖCKERATH (Leiter ZDF-Studio Rio de Janeiro, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.03.2021,1504,14,33,18.03.2021,075'53,23:27:43 - 00:43:36," 23:27:43 - 00:43:36 075'53 O-Ton Interview Markus LANZ mit den Studiogästen Prof. Dr. Alexander KEKULE (Virologe, Prof. für Medizinische Mikrobiologie und Virologie an der Martin-Luther-Universität Halle-Wittenberg, Direktor vom Institut für Medizinische Mikrobiologie am Universitätsklinikum Halle (Saale)), Karl LAUTERBACH (Prof. für Epidemiologie und Gesundheitsökonomie",Alexander KEKULE,Saale,Medizinische M,Saale,Universität H,Saale,Medizinische M,Saale,Universitätsklinikum H,Saale,,,,,,,,,,,,,,,,
 Markus Lanz 23.03.2021,1505,14,34,23.03.2021,076'28,22:58:26 - 00:14:54," 22:58:26 - 00:14:54 076'28 O-Ton Interview Markus LANZ mit den Studiogästen Stephan WEIL (MPr Niedersachsen, SPD, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 24.03.2021,1506,14,35,24.03.2021,074'16,23:36:05 - 00:50:21, 23:36:05 - 00:50:21 074'16 O-Ton Interview Markus LANZ mit den Studiogästen Karl LAUTERBACH (Prof. für Epidemiologie und Gesundheitsökonomie,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.03.2021,1507,14,36,25.03.2021,077'02,23:19:56 - 00:36:58," 23:19:56 - 00:36:58 077'02 O-Ton Interview Markus LANZ mit den Studiogästen Andreas BOVENSCHULTE (Bgm Bremen, SPD), Eva QUADBECK (Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""), Richard David PRECHT (Philosoph, Publizist), Dr. Thorsten LEHR (Prof. für Klinische Pharmazie, Universität des Saarlandes",Andreas BOVENSCHULTE,"Bgm Bremen, SPD",Eva QUADBECK,"Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""",Richard David PRECHT,"Philosoph, Publizist",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.03.2021,1508,14,37,30.03.2021,075'33,22:47:17 - 00:02:50," 22:47:17 - 00:02:50 075'33 O-Ton Interview Markus LANZ mit den Studiogästen Armin LASCHET (MPr Nordrhein-Westfalen, Vors CDU), Helene BUBROWSKI (Journalistin, Parlamentsredaktion FAZ), Boris PALMER (OB Tübingen, Bündnis 90 / Die Grünen) und Dr. Carola HOLZNER (Ärztin, Oberärztin Universitätsklinikum Essen) ",Armin LASCHET,"MPr Nordrhein-Westfalen, Vors CDU",Helene BUBROWSKI,"Journalistin, Parlamentsredaktion FAZ",Boris PALMER,"OB Tübingen, Bündnis 90 / Die Grünen",Carola HOLZNER,"Ärztin, Oberärztin Universitätsklinikum Essen",,,,,,,,,,,,,,,,,,
 Markus Lanz 31.03.2021,1509,14,38,31.03.2021,075'14,23:17:31 - 00:32:45," 23:17:31 - 00:32:45 075'14 O-Ton Interview Markus LANZ mit den Studiogästen Wolfgang SCHÄUBLE (BTPräs, CDU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.04.2021,1510,14,39,01.04.2021,077'41,23:12:43 - 00:30:24," 23:12:43 - 00:30:24 077'41 O-Ton Interview Markus LANZ mit den Studiogästen Michael KRETSCHMER (MPr Sachsen, CDU), Wolfgang KUBICKI (stellv. Vors FDP), Anja MAIER (Journalistin, Parlamentsberichterstatterin beim ""Weser Kurier"") und Prof. Melanie BRINKMANN (Virologin am Helmholtz-Institut für Infektionsforschung) ",Michael KRETSCHMER,"MPr Sachsen, CDU",Wolfgang KUBICKI,stellv. Vors FDP,Anja MAIER,"Journalistin, Parlamentsberichterstatterin beim ""Weser Kurier""",Melanie BRINKMANN,Virologin am Helmholtz-Institut für Infektionsforschung,,,,,,,,,,,,,,,,,,
 Markus Lanz 06.04.2021,1511,14,40,06.04.2021,076'34,22:47:39 - 00:04:13," 22:47:39 - 00:04:13 076'34 O-Ton Interview Markus LANZ mit den Studiogästen Markus SÖDER (MPr Bayern, CSU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.04.2021,1512,14,41,07.04.2021,076'00,23:14:03 - 00:30:03," 23:14:03 - 00:30:03 076'00 O-Ton Interview Markus LANZ mit den Studiogästen Norbert WALTER-BORJANS (Vors SPD), Melanie AMANN (Journalistin, Leiterin Hauptstadtbüro ""Der Spiegel""), Prof. Julian NIDA-RÜMELIN (Philosoph, Mitglied Deutscher Ethikrat) und Prof. Uwe JANSSENS (Arzt, Chefarzt der Klinik für Innere Medizin und Internistische Intensivmedizin am St.-Antonius-Hospital in Eschweiler) ",Norbert WALTER-BORJANS,Vors SPD,Melanie AMANN,"Journalistin, Leiterin Hauptstadtbüro ""Der Spiegel""",Julian NIDA-RÜMELIN,"Philosoph, Mitglied Deutscher Ethikrat",Uwe JANSSENS,"Arzt, Chefarzt der Klinik für Innere Medizin und Internistische Intensivmedizin am St.-Antonius-Hospital in Eschweiler",,,,,,,,,,,,,,,,,,
 Markus Lanz 08.04.2021,1513,14,42,08.04.2021,075'54,23:21:16 - 00:37:10," 23:21:16 - 00:37:10 075'54 O-Ton Interview Markus LANZ mit den Studiogästen Paul ZIEMIAK (GenSekr CDU), Karl LAUTERBACH (Prof. für Epidemiologie und Gesundheitsökonomie",Paul ZIEMIAK,GenSekr CDU,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 13.04.2021,1514,14,43,13.04.2021,076'49,23:17:00 - 00:33:49," 23:17:00 - 00:33:49 076'49 O-Ton Interview Markus LANZ mit den Studiogästen Markus BLUME (GenSekr CSU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.04.2021,1515,14,44,14.04.2021,076'58,23:14:34 - 00:31:32," 23:14:34 - 00:31:32 076'58 O-Ton Interview Markus LANZ mit den Studiogästen Michael MÜLLER (RBm Berlin, SPD), Helene BUBROWSKI (Journalistin, Parlamentsredaktion FAZ), Ferdinand VON SCHIRACH (Schriftsteller) und Dr. Gerhard SCHEUCH (Biochemiker, Aerosolforscher) ",Michael MÜLLER,"RBm Berlin, SPD",Helene BUBROWSKI,"Journalistin, Parlamentsredaktion FAZ",Ferdinand VON,Schriftsteller,Gerhard SCHEUCH,"Biochemiker, Aerosolforscher",,,,,,,,,,,,,,,,,,
 Markus Lanz 15.04.2021,1516,14,45,15.04.2021,076'13,23:21:21 - 00:37:34," 23:21:21 - 00:37:34 076'13 O-Ton Interview Markus LANZ mit den Studiogästen Katja LEIKERT (stellv Fraktionsvors CDU), Peter RAMSAUER (MdB, CSU, Zuschaltung ",Katja LEIKERT,stellv Fraktionsvors CDU,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 20.04.2021,1517,14,46,20.04.2021,076'32,22:50:35 - 00:07:07," 22:50:35 - 00:07:07 076'32 O-Ton Interview Markus LANZ mit den Studiogästen Kai WEGNER (Vors CDU Berlin), Cem ÖZDEMIR (MdB, Bündnis 90 / Die Grünen), Kristina DUNZ (stellv Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""), Wolfram WEIMER (Verleger ""The European"") und Manuela SCHWESIG (MPr Mecklenburg-Vorpommern, SPD, Zuschaltung ",Kai WEGNER,Vors CDU Berlin,Cem ÖZDEMIR,"MdB, Bündnis 90 / Die Grünen",Kristina DUNZ,"stellv Leiterin Hauptstadtbüro ""RedaktionsNetzwerk Deutschland""",Wolfram WEIMER,"Verleger ""The European""",,,,,,,,,,,,,,,,,,
 Markus Lanz 21.04.2021,1518,14,47,21.04.2021,074'35,23:17:50 - 00:32:25," 23:17:50 - 00:32:25 074'35 O-Ton Interview Markus LANZ mit den Studiogästen Gerhart BAUM (ehem BMI, FDP), Katharina HAMBERGER (Korrespondentin Hauptstadtstudio ""Deutschlandfunk""), Dr. Caterina REUCHSEL (Intensivmedizinerin im SRH-Klinikum Gera), Mike MOHRING (Mitglied Bundesvorstand CDU) und Christoph RÖCKERATH (Leiter ZDF-Studio Rio de Janeiro, Zuschaltung ",Gerhart BAUM,"ehem BMI, FDP",Katharina HAMBERGER,"Korrespondentin Hauptstadtstudio ""Deutschlandfunk""",Caterina REUCHSEL,Intensivmedizinerin im SRH-Klinikum Gera,Mike MOHRING,Mitglied Bundesvorstand CDU,,,,,,,,,,,,,,,,,,
 Markus Lanz 22.04.2021,1519,14,48,22.04.2021,075'16,23:20:54 - 00:36:10," 23:20:54 - 00:36:10 075'16 O-Ton Interview Markus LANZ mit den Studiogästen Paul ZIEMIAK (GenSekr CDU, Zuschaltung ",,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 27.04.2021,1520,14,49,27.04.2021,075'56,22:45:23 - 00:01:19," 22:45:23 - 00:01:19 075'56 O-Ton Interview Markus LANZ mit den Studiogästen Peter TSCHENTSCHER (Erster Bgm Hamburg, SPD), Boris PALMER (OB Tübingen, Bündnis 90 / Die Grünen), Anja MAIER (Parlamentsberichterstatterin beim ""Weser Kurier"") und Dr. Jana SCHROEDER (Virologin",Peter TSCHENTSCHER,"Erster Bgm Hamburg, SPD",Boris PALMER,"OB Tübingen, Bündnis 90 / Die Grünen",Anja MAIER,"Parlamentsberichterstatterin beim ""Weser Kurier""",,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.04.2021,1521,14,50,28.04.2021,074'33,23:14:41 - 00:29:14," 23:14:41 - 00:29:14 074'33 O-Ton Interview Markus LANZ mit den Studiogästen Markus BLUME (GenSekr CSU), Christine ASCHENBERG-DUGNUS (MdB, Gesundheitspolitische Sprecherin FDP), Gregor Peter SCHMITZ (Chefredakteur ""Augsburger Allgemeine"") und Dr. Dirk HEINRICH (Leiter Impfzentrum Hamburg) ",Markus BLUME,GenSekr CSU,Christine ASCHENBERG-DUGNUS,"MdB, Gesundheitspolitische Sprecherin FDP",Gregor Peter SCHMITZ,"Chefredakteur ""Augsburger Allgemeine""",Dirk HEINRICH,Leiter Impfzentrum Hamburg,,,,,,,,,,,,,,,,,,
