index,episode_name,date,description,factcheck,length,name,role,message,talkshow,party,media,group
18,maischberger am 20.03.2024,2024-03-20,"Ist der Sozialstaat in Gefahr? Darüber diskutieren der Generalsekretär der SPD und der stellvertretende Fraktionsvorsitzende der CDU Deutschland im Krisenmodus? Im Gespräch der Kabarettist und Satiriker . Es kommentieren die Autorin und Journalistin , die Leiterin des ARD-Studios in Washington und die politische Korrespondentin der „Zeit“ .",,75,Mariam Lau,,,maischberger,,Zeit,Journalismus
19,maischberger am 18.02.2025,2025-02-18,"Ukraine-Krieg: Welcher Weg führt zum Frieden? Im Gespräch der Präsident der Ukraine Wolodymyr Selenskyj. Wirtschaft, Soziales und Migration: Wer hat die besseren Lösungen? Darüber streiten die Parteivorsitzenden Saskia Esken (SPD) und Christian Lindner (FDP). Es kommentieren: Die Moderatorin Bettina Böttinger, der Verleger von „The European“ Wolfram Weimer und der Ukrainekorrespondent der ARD Vassili Golod.",,75,Saskia Esken,,,maischberger,SPD,,Politik
20,maischberger am 18.02.2025,2025-02-18,"Ukraine-Krieg: Welcher Weg führt zum Frieden? Im Gespräch der Präsident der Ukraine Wolodymyr Selenskyj. Wirtschaft, Soziales und Migration: Wer hat die besseren Lösungen? Darüber streiten die Parteivorsitzenden Saskia Esken (SPD) und Christian Lindner (FDP). Es kommentieren: Die Moderatorin Bettina Böttinger, der Verleger von „The European“ Wolfram Weimer und der Ukrainekorrespondent der ARD Vassili Golod.",,75,Vassili Golod,,,maischberger,,ARD,Journalismus
21,maischberger am 18.02.2025,2025-02-18,"Ukraine-Krieg: Welcher Weg führt zum Frieden? Im Gespräch der Präsident der Ukraine Wolodymyr Selenskyj. Wirtschaft, Soziales und Migration: Wer hat die besseren Lösungen? Darüber streiten die Parteivorsitzenden Saskia Esken (SPD) und Christian Lindner (FDP). Es kommentieren: Die Moderatorin Bettina Böttinger, der Verleger von „The European“ Wolfram Weimer und der Ukrainekorrespondent der ARD Vassili Golod.",,75,Wolfram Weimer,,,maischberger,,The European,Journalismus
22,maischberger am 18.02.2025,2025-02-18,"Ukraine-Krieg: Welcher Weg führt zum Frieden? Im Gespräch der Präsident der Ukraine Wolodymyr Selenskyj. Wirtschaft, Soziales und Migration: Wer hat die besseren Lösungen? Darüber streiten die Parteivorsitzenden Saskia Esken (SPD) und Christian Lindner (FDP). Es kommentieren: Die Moderatorin Bettina Böttinger, der Verleger von „The European“ Wolfram Weimer und der Ukrainekorrespondent der ARD Vassili Golod.",,75,Bettina Böttinger,,,maischberger,,,Kultur
23,maischberger am 18.02.2025,2025-02-18,"Ukraine-Krieg: Welcher Weg führt zum Frieden? Im Gespräch der Präsident der Ukraine Wolodymyr Selenskyj. Wirtschaft, Soziales und Migration: Wer hat die besseren Lösungen? Darüber streiten die Parteivorsitzenden Saskia Esken (SPD) und Christian Lindner (FDP). Es kommentieren: Die Moderatorin Bettina Böttinger, der Verleger von „The European“ Wolfram Weimer und der Ukrainekorrespondent der ARD Vassili Golod.",,75,Christian Lindner,,,maischberger,FDP,,Politik
24,maischberger am 18.02.2025,2025-02-18,"Ukraine-Krieg: Welcher Weg führt zum Frieden? Im Gespräch der Präsident der Ukraine Wolodymyr Selenskyj. Wirtschaft, Soziales und Migration: Wer hat die besseren Lösungen? Darüber streiten die Parteivorsitzenden Saskia Esken (SPD) und Christian Lindner (FDP). Es kommentieren: Die Moderatorin Bettina Böttinger, der Verleger von „The European“ Wolfram Weimer und der Ukrainekorrespondent der ARD Vassili Golod.",,75,Wolodymyr Selenskyj,,,maischberger,,,
25,maischberger am 04.06.2024,2024-06-04,"Schwindet die Akzeptanz für grüne Politik? Im Studio die Staatsministerin für Kultur und Medien Claudia Roth (B‘90/Grüne). Welche Folgen hat der Schuldspruch gegen Trump für die US-Wahl? Zu Gast im Studio der ehemalige USA-Korrespondent und Moderator Claus Kleber. Es kommentieren: der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die Korrespondentin im ARD-Hauptstadtstudio Iris Sayram und der Politik-Redakteur der Neuen Zürcher Zeitung Alexander Kissler.",,75,Theo Koll,,,maischberger,,ZDF,Journalismus
26,maischberger am 04.06.2024,2024-06-04,"Schwindet die Akzeptanz für grüne Politik? Im Studio die Staatsministerin für Kultur und Medien Claudia Roth (B‘90/Grüne). Welche Folgen hat der Schuldspruch gegen Trump für die US-Wahl? Zu Gast im Studio der ehemalige USA-Korrespondent und Moderator Claus Kleber. Es kommentieren: der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die Korrespondentin im ARD-Hauptstadtstudio Iris Sayram und der Politik-Redakteur der Neuen Zürcher Zeitung Alexander Kissler.",,75,Iris Sayram,,,maischberger,,ARD,Journalismus
27,maischberger am 04.06.2024,2024-06-04,"Schwindet die Akzeptanz für grüne Politik? Im Studio die Staatsministerin für Kultur und Medien Claudia Roth (B‘90/Grüne). Welche Folgen hat der Schuldspruch gegen Trump für die US-Wahl? Zu Gast im Studio der ehemalige USA-Korrespondent und Moderator Claus Kleber. Es kommentieren: der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die Korrespondentin im ARD-Hauptstadtstudio Iris Sayram und der Politik-Redakteur der Neuen Zürcher Zeitung Alexander Kissler.",,75,Alexander Kissler,,,maischberger,,,
28,maischberger am 04.06.2024,2024-06-04,"Schwindet die Akzeptanz für grüne Politik? Im Studio die Staatsministerin für Kultur und Medien Claudia Roth (B‘90/Grüne). Welche Folgen hat der Schuldspruch gegen Trump für die US-Wahl? Zu Gast im Studio der ehemalige USA-Korrespondent und Moderator Claus Kleber. Es kommentieren: der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die Korrespondentin im ARD-Hauptstadtstudio Iris Sayram und der Politik-Redakteur der Neuen Zürcher Zeitung Alexander Kissler.",,75,Claudia Roth,,,maischberger,,,
29,maischberger am 16.10.2024,2024-10-16,"Streit um den richtigen Migrationskurs: Es diskutieren die Fraktionsvorsitzende der Grünen Katharina Dröge und der CDU-Politiker Jens Spahn. Deutsche Unterstützung für die Ukraine: Im Studio der Militärhistoriker Sönke Neitzel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und der Spiegel-Autor Markus Feldenkirchen.",,75,Theo Koll,,,maischberger,,ZDF,Journalismus
30,maischberger am 16.10.2024,2024-10-16,"Streit um den richtigen Migrationskurs: Es diskutieren die Fraktionsvorsitzende der Grünen Katharina Dröge und der CDU-Politiker Jens Spahn. Deutsche Unterstützung für die Ukraine: Im Studio der Militärhistoriker Sönke Neitzel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und der Spiegel-Autor Markus Feldenkirchen.",,75,Markus Feldenkirchen,,,maischberger,,Spiegel,Journalismus
31,maischberger am 16.10.2024,2024-10-16,"Streit um den richtigen Migrationskurs: Es diskutieren die Fraktionsvorsitzende der Grünen Katharina Dröge und der CDU-Politiker Jens Spahn. Deutsche Unterstützung für die Ukraine: Im Studio der Militärhistoriker Sönke Neitzel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und der Spiegel-Autor Markus Feldenkirchen.",,75,Sönke Neitzel,,,maischberger,,,Militär
32,maischberger am 16.10.2024,2024-10-16,"Streit um den richtigen Migrationskurs: Es diskutieren die Fraktionsvorsitzende der Grünen Katharina Dröge und der CDU-Politiker Jens Spahn. Deutsche Unterstützung für die Ukraine: Im Studio der Militärhistoriker Sönke Neitzel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und der Spiegel-Autor Markus Feldenkirchen.",,75,Jens Spahn,,,maischberger,CDU,,Politik
33,maischberger am 16.10.2024,2024-10-16,"Streit um den richtigen Migrationskurs: Es diskutieren die Fraktionsvorsitzende der Grünen Katharina Dröge und der CDU-Politiker Jens Spahn. Deutsche Unterstützung für die Ukraine: Im Studio der Militärhistoriker Sönke Neitzel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und der Spiegel-Autor Markus Feldenkirchen.",,75,Alev Doğan,,,maischberger,,The Pioneer,Journalismus
34,maischberger am 16.10.2024,2024-10-16,"Streit um den richtigen Migrationskurs: Es diskutieren die Fraktionsvorsitzende der Grünen Katharina Dröge und der CDU-Politiker Jens Spahn. Deutsche Unterstützung für die Ukraine: Im Studio der Militärhistoriker Sönke Neitzel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die stellvertretende Chefredakteurin von The Pioneer Alev Doğan und der Spiegel-Autor Markus Feldenkirchen.",,75,Katharina Dröge,,,maischberger,B90G,,Politik
35,maischberger am 28.08.2024,2024-08-28,"Sicherheit, Haushalt, Ost-Wahlen: Ist die Ampel zukunftsfähig? Im Studio der Bundesfinanzminister und FDP-Parteivorsitzende Christian Lindner. Attentat von Solingen: Wie sicher ist Deutschland? Einschätzungen und Erkenntnisse des Terrorismusexperten und Autors Peter Neumann. Harris gegen Trump: Wer hat die besseren Chancen auf das Weiße Haus? Im Gespräch der „Senior International Correspondent“ des US-Nachrichtensenders CNN Frederik Pleitgen. Es kommentieren: Der Journalist und Moderator Cherno Jobatey, die Korrespondentin im ARD-Hauptstadtstudio Kerstin Palzer und die stellvertretende Chefredakteurin von Table.Briefings Helene Bubrowski.",,75,Helene Bubrowski,,,maischberger,,Table.Media,Journalismus
36,maischberger am 28.08.2024,2024-08-28,"Sicherheit, Haushalt, Ost-Wahlen: Ist die Ampel zukunftsfähig? Im Studio der Bundesfinanzminister und FDP-Parteivorsitzende Christian Lindner. Attentat von Solingen: Wie sicher ist Deutschland? Einschätzungen und Erkenntnisse des Terrorismusexperten und Autors Peter Neumann. Harris gegen Trump: Wer hat die besseren Chancen auf das Weiße Haus? Im Gespräch der „Senior International Correspondent“ des US-Nachrichtensenders CNN Frederik Pleitgen. Es kommentieren: Der Journalist und Moderator Cherno Jobatey, die Korrespondentin im ARD-Hauptstadtstudio Kerstin Palzer und die stellvertretende Chefredakteurin von Table.Briefings Helene Bubrowski.",,75,Peter Neumann,,,maischberger,,,Geisteswissenschaft
37,maischberger am 28.08.2024,2024-08-28,"Sicherheit, Haushalt, Ost-Wahlen: Ist die Ampel zukunftsfähig? Im Studio der Bundesfinanzminister und FDP-Parteivorsitzende Christian Lindner. Attentat von Solingen: Wie sicher ist Deutschland? Einschätzungen und Erkenntnisse des Terrorismusexperten und Autors Peter Neumann. Harris gegen Trump: Wer hat die besseren Chancen auf das Weiße Haus? Im Gespräch der „Senior International Correspondent“ des US-Nachrichtensenders CNN Frederik Pleitgen. Es kommentieren: Der Journalist und Moderator Cherno Jobatey, die Korrespondentin im ARD-Hauptstadtstudio Kerstin Palzer und die stellvertretende Chefredakteurin von Table.Briefings Helene Bubrowski.",,75,Kerstin Palzer,,,maischberger,,ARD,Journalismus
38,maischberger am 28.08.2024,2024-08-28,"Sicherheit, Haushalt, Ost-Wahlen: Ist die Ampel zukunftsfähig? Im Studio der Bundesfinanzminister und FDP-Parteivorsitzende Christian Lindner. Attentat von Solingen: Wie sicher ist Deutschland? Einschätzungen und Erkenntnisse des Terrorismusexperten und Autors Peter Neumann. Harris gegen Trump: Wer hat die besseren Chancen auf das Weiße Haus? Im Gespräch der „Senior International Correspondent“ des US-Nachrichtensenders CNN Frederik Pleitgen. Es kommentieren: Der Journalist und Moderator Cherno Jobatey, die Korrespondentin im ARD-Hauptstadtstudio Kerstin Palzer und die stellvertretende Chefredakteurin von Table.Briefings Helene Bubrowski.",,75,Frederik Pleitgen,,,maischberger,,CNN,Journalismus
39,maischberger am 28.08.2024,2024-08-28,"Sicherheit, Haushalt, Ost-Wahlen: Ist die Ampel zukunftsfähig? Im Studio der Bundesfinanzminister und FDP-Parteivorsitzende Christian Lindner. Attentat von Solingen: Wie sicher ist Deutschland? Einschätzungen und Erkenntnisse des Terrorismusexperten und Autors Peter Neumann. Harris gegen Trump: Wer hat die besseren Chancen auf das Weiße Haus? Im Gespräch der „Senior International Correspondent“ des US-Nachrichtensenders CNN Frederik Pleitgen. Es kommentieren: Der Journalist und Moderator Cherno Jobatey, die Korrespondentin im ARD-Hauptstadtstudio Kerstin Palzer und die stellvertretende Chefredakteurin von Table.Briefings Helene Bubrowski.",,75,Christian Lindner,,,maischberger,FDP,,Politik
40,maischberger am 28.08.2024,2024-08-28,"Sicherheit, Haushalt, Ost-Wahlen: Ist die Ampel zukunftsfähig? Im Studio der Bundesfinanzminister und FDP-Parteivorsitzende Christian Lindner. Attentat von Solingen: Wie sicher ist Deutschland? Einschätzungen und Erkenntnisse des Terrorismusexperten und Autors Peter Neumann. Harris gegen Trump: Wer hat die besseren Chancen auf das Weiße Haus? Im Gespräch der „Senior International Correspondent“ des US-Nachrichtensenders CNN Frederik Pleitgen. Es kommentieren: Der Journalist und Moderator Cherno Jobatey, die Korrespondentin im ARD-Hauptstadtstudio Kerstin Palzer und die stellvertretende Chefredakteurin von Table.Briefings Helene Bubrowski.",,75,Cherno Jobatey,,,maischberger,,,Journalismus
41,maischberger am 08.05.2024,2024-05-08,"Radikalisierung in Deutschland und Unterstützung für die Ukraine: Im Gespräch Bundesinnenminister a.D. (FDP). Wirtschaftsflaute und Energiewende in Deutschland: Es diskutieren der bayerische Wirtschaftsminister und Vorsitzende der Freien Wähler und Hessens ehemaliger Wirtschaftsminister (Bündnis 90/Die Grünen). Es kommentieren: Der Sportjournalist , die Journalistin der Welt am Sonntag und die Redakteurin von Zeit Online",,75,Béla Réthy,,,maischberger,,,Journalismus
42,maischberger am 08.05.2024,2024-05-08,"Radikalisierung in Deutschland und Unterstützung für die Ukraine: Im Gespräch Bundesinnenminister a.D. (FDP). Wirtschaftsflaute und Energiewende in Deutschland: Es diskutieren der bayerische Wirtschaftsminister und Vorsitzende der Freien Wähler und Hessens ehemaliger Wirtschaftsminister (Bündnis 90/Die Grünen). Es kommentieren: Der Sportjournalist , die Journalistin der Welt am Sonntag und die Redakteurin von Zeit Online",,75,Yasmine M'Barek,,,maischberger,,T-Online,Journalismus
43,maischberger am 08.05.2024,2024-05-08,"Radikalisierung in Deutschland und Unterstützung für die Ukraine: Im Gespräch Bundesinnenminister a.D. (FDP). Wirtschaftsflaute und Energiewende in Deutschland: Es diskutieren der bayerische Wirtschaftsminister und Vorsitzende der Freien Wähler und Hessens ehemaliger Wirtschaftsminister (Bündnis 90/Die Grünen). Es kommentieren: Der Sportjournalist , die Journalistin der Welt am Sonntag und die Redakteurin von Zeit Online",,75,Tarek Al Wazir,,,maischberger,,,
44,maischberger am 08.05.2024,2024-05-08,"Radikalisierung in Deutschland und Unterstützung für die Ukraine: Im Gespräch Bundesinnenminister a.D. (FDP). Wirtschaftsflaute und Energiewende in Deutschland: Es diskutieren der bayerische Wirtschaftsminister und Vorsitzende der Freien Wähler und Hessens ehemaliger Wirtschaftsminister (Bündnis 90/Die Grünen). Es kommentieren: Der Sportjournalist , die Journalistin der Welt am Sonntag und die Redakteurin von Zeit Online",,75,Hubert Aiwanger,,,maischberger,Freie Wähler,,Politik
45,maischberger am 08.05.2024,2024-05-08,"Radikalisierung in Deutschland und Unterstützung für die Ukraine: Im Gespräch Bundesinnenminister a.D. (FDP). Wirtschaftsflaute und Energiewende in Deutschland: Es diskutieren der bayerische Wirtschaftsminister und Vorsitzende der Freien Wähler und Hessens ehemaliger Wirtschaftsminister (Bündnis 90/Die Grünen). Es kommentieren: Der Sportjournalist , die Journalistin der Welt am Sonntag und die Redakteurin von Zeit Online",,75,Gerhart Baum,,,maischberger,FDP,,Politik
46,maischberger am 08.05.2024,2024-05-08,"Radikalisierung in Deutschland und Unterstützung für die Ukraine: Im Gespräch Bundesinnenminister a.D. (FDP). Wirtschaftsflaute und Energiewende in Deutschland: Es diskutieren der bayerische Wirtschaftsminister und Vorsitzende der Freien Wähler und Hessens ehemaliger Wirtschaftsminister (Bündnis 90/Die Grünen). Es kommentieren: Der Sportjournalist , die Journalistin der Welt am Sonntag und die Redakteurin von Zeit Online",,75,Dagmar Rosenfeld,,,maischberger,,The Pioneer,Journalismus
47,maischberger am 12.02.2025,2025-02-12,"Parteien im Wahlkampfendspurt: Was trennt CDU und AfD? Es diskutieren der Generalsekretär der CDU Mecklenburg-Vorpommern Philipp Amthor und der Parlamentarische Geschäftsführer der AfD-Fraktion im Bundestag Bernd Baumann. Wirtschaftskrise in Deutschland: Wie kommt die Konjunktur wieder in Schwung? Im Gespräch der Chef der Reisekonzerns TUI Sebastian Ebel. Es kommentieren: Der langjährige Leiter des ZDF-Hauptstadtstudios Theo Koll, die Politikredakteurin der Zeit Mariam Lau und die Wirtschaftskorrespondentin der taz Ulrike Herrmann.",,75,Mariam Lau,,,maischberger,,Zeit,Journalismus
