ID,Datum,Talkshow,Inhalt
anne-will_427-erdogans-siegeszug-schaut-europa-weiter-hilflos-zu-1325803,2019-10-20,Anne Will,"Die Türkei hat einer Unterbrechung ihrer Militäroffensive im Norden Syriens zugestimmt, damit kurdische Kämpfer und Kämpferinnen aus der Region abziehen können. Damit hat Erdoğan sein Ziel erreicht. Laut Berichten sind bereits hunderttausende Menschen auf der Flucht. Die EU reagiert verhalten auf die Feuerpause. Ist die „Waffenruhe“ vor allem ein Erfolg für den türkischen Präsidenten? Welche Folgen hat dieser Konflikt für die Flüchtlingspolitik? Und ist die Türkei noch ein Partner Europas? Zu Gast bei Anne Will: Norbert Röttgen (CDU), Vorsitzender des Auswärtigen Ausschusses im Bundestag Ben Hodges, Generalleutnant a.D., ehemaliger Kommandeur der US-Armee in Europa Sevim Dağdelen (Die Linke), stellvertretende Fraktionsvorsitzende im Bundestag Wolfgang Ischinger, Vorsitzender der Münchner Sicherheitskonferenz Natalie Amiri, Leiterin des ARD-Studios in Teheran (Text:ARD)"
markus-lanz_1280-folge-1280-1307139,2019-08-07,Markus Lanz,"Reiner Haseloff, Politiker Um ein AfD-Bündnis zu vermeiden, bildete der CDU-Ministerpräsident Sachsen-Anhalts 2016 die erste Kenia-Koalition. Er zieht Bilanz und äußert sich zu AKK als Verteidigungsministerin. Melanie Amann, Journalistin Die „Spiegel“-Redakteurin analysiert die Regierungsarbeit Haseloffs. Ferner äußert sie sich zu EU-Kommissionspräsidentin von der Leyen und zu AKKs Wechsel ins Verteidigungsministerium. Thomas Hermanns, Moderator Der 56-jährige Entertainer beobachtet eine zunehmende „Aufregungskultur“ – mit weitreichenden Folgen für unsere Gesellschaft. In seinem neuen Buch plädiert er daher für mehr Freundlichkeit. Dr. Johannes Fritz, Biologe Mit der Wiederansiedlung des Waldrapps, der vor 400 Jahren aus Europa verschwand, arbeitet der Vogelvater an einem der spektakulärsten Artenschutzprogramme Deutschlands. (Text:ZDF)"
maischberger-ard_666-sendung-vom-18-08-2021-1487821,2021-08-18,maischberger,"Historische Wende in Afghanistan: Die radikal-islamistischen Taliban haben das Land im Eiltempo eingenommen. Die jahrzehntelangen Bemühungen der Nato und westlicher Länder, eine demokratische Zivilgesellschaft aufzubauen, sind gescheitert. Tausende Afghanen versuchen das Land zu verlassen, am Flughafen in Kabul spielen sich dramatische Szenen ab. Frauen und Mädchen droht ein enormer Rückschritt, wenn die Taliban einen islamischen Staat nach ihren Vorstellungen durchsetzen. Um ihr Leben fürchten die Ortskräfte, die für die Bundeswehr und deutsche Organisationen gearbeitet haben. Im Gespräch die in Kabul geborene Ethnologin Shikiba Babori und der Vorsitzende des „Patenschaftsnetzwerks Afghanischer Ortskräfte“ Marcus Grotian. Nachdem die Taliban die Macht in Afghanistan übernommen haben, ist ein politischer Streit entbrannt: Wer trägt die Verantwortung für das Debakel? Hat der Westen versagt? Und war der Bundeswehreinsatz von Anfang an ein Fehler? Im Gespräch die Außenpolitiker Gregor Gysi (Die Linke) und Norbert Röttgen (CDU). In Baden-Württemberg gilt seit Montag eine neue Corona-Verordnung. Unter anderem spielt die Inzidenz keine entscheidende Rolle mehr und im privaten Bereich wird es vorerst keine Einschränkungen mehr geben. Allerdings: Für Ungeimpfte gilt in vielen Bereichen eine Testpflicht. Wird diese Strategie funktionieren? Es diskutieren, kommentieren und erklären der Leiter des ZDF-Hauptstadtbüros Theo Koll, die Chefreporterin der „Welt“ Anna Schneider und der „Spiegel“-Autor Markus Feldenkirchen. Die Gäste: Norbert Röttgen, CDU (Außenpolitiker) Gregor Gysi, Die Linke (Außenpolitiker) Shikiba Babori (afghanische Ethnologin) Marcus Grotian („Patenschaftsnetzwerks Afghanischer Ortskräfte“) Theo Koll (Journalist) Anna Schneider (Journalistin) Markus Feldenkirchen (Journalist) (Text:ARD)"
maischberger-ard_705-sendung-vom-15-06-2022-1559975,2022-06-15,maischberger,"Der Tankrabatt der Ampel-Regierung ist an den Zapfsäulen kaum spürbar. Stecken sich die Öl-Konzerne den 3-Milliarden-Euro-Zuschuss in die eigene Tasche? Muss die Regierung die kriegsbedingten Übergewinne per Gesetz abschöpfen? Fragen an Bundesjustizminister Marco Buschmann (FDP). „Ich werde an den Rand gedrängt“, klagt die Rentnerin Ursula Uhlmann, die mit Rente plus Grundsicherung wegen der hohen Inflation kaum genug zum Leben hat. Lässt die Regierung die Schwachen der Gesellschaft im Stich? Darüber diskutiert die Rentnerin mit der SPD-Parteivorsitzenden Saskia Esken. Es erklären, kommentieren und diskutieren der Kabarettist Mathias Richling, der Verleger von „The European“ Wolfram Weimer und die Korrespondentin im ARD-Hauptstadtstudio Kerstin Palzer. Die Gäste: Marco Buschmann, FDP (Bundesjustizminister) Saskia Esken, SPD (Parteivorsitzende) Ursula Uhlmann (Rentnerin aus Bayern) Mathias Richling (Kabarettist) Kerstin Palzer (ARD-Hauptstadtkorrespondentin) Wolfram Weimer (Journalist) (Text:ARD)"
hart-aber-fair_637-weckruf-oder-panikmache-braucht-das-klima-eine-oeko-revolution-1337941,2019-12-02,hart aber fair,"Die Gäste: Hans von Storch (Klimaforscher; war bis Ende 2015 Direktor am Institut für Klimaforschung des Helmholtz Zentrums in Geesthacht und Professor an der Universität Hamburg) Nina Kronjäger (Schauspielerin; bemüht sich um eine klimabewusste Lebensweise) Tino Pfaff (Sprecher von Extinction Rebellion Deutschland) Rainer Hank (Wirtschaftsredakteur der FAZ) Bärbel Höhn (B’90/​Grüne, ehemalige NRW-Umweltministerin, Energiebeauftragte des Bundesentwicklungsministeriums in Afrika) Im Einzelgespräch: Christopher Grau (Auto-Tuner; Gründer der Facebook-Gruppe „Fridays for Hubraum“) In Madrid beginnt der Weltklimagipfel. Bei uns spitzt sich der Streit zu: Wie radikal muss die Politik umsteuern für das Klima? Führt der Klimawandel wirklich schon bald in eine Katastrophe? Und ist eine Art Öko-Revolution die letzte Antwort? (Text:ARD)"
maischberger-ard_660-sendung-vom-19-05-2021-1465390,2021-05-19,maischberger,"Die Gewalt in Nahost nimmt kein Ende. Eine Woche nach Beginn der jüngsten Eskalation sind bereits mehr als 200 Menschen gestorben und eine Lösung scheint in weiter Ferne. Der Konflikt zwischen dem Staat Israel und den Palästinensern hat in Deutschland und anderen europäischen Ländern tausende Demonstranten auf die Straße gebracht. Teils kam es dabei zu massiven Ausschreitungen. Warum eskaliert die Gewalt gerade jetzt? Wo liegen die Wurzeln des Konflikts? Im Gespräch der Autor und „Tagesschau“-Sprecher Constantin Schreiber und der Publizist Malcolm Ohanwe. Der Moderator und Mediziner Eckart von Hirschhausen ist überzeugt davon, dass Corona nur Teil einer größeren Krise ist, die uns noch bevorsteht. Angesichts des Klimawandels fordert er tiefgreifende Reformen. Er ist überzeugt: „Wenn wir so weitermachen, dann schaffen wir uns selber ab.“ Warum Klimaschutz auch Gesundheitsschutz ist, hat Eckart von Hirschhausen in seinem neuen Buch „Mensch, Erde! Wir könnten es so schön haben!“ analysiert. Er ist zu Gast im Studio. Die Corona-Infektionslage entspannt sich weiter. Die Hoffnung auf baldige Restaurantbesuche und den Sommerurlaub wächst. Doch Gesundheitsminister Jens Spahn mahnt zur Vorsicht und warnt vor einem „Wettlauf der Lockerungen“. Wie viel Normalität können wir uns leisten? Es diskutieren, kommentieren und erklären der Fernsehmoderator Jörg Pilawa, die Korrespondentin im „Deutschlandfunk“-Hauptstadtstudio Katharina Hamberger und Der Leiter des Politikressorts von RTL/​n-tv Nikolaus Blome. Die Gäste: Dr. Eckart von Hirschhausen (Arzt und Autor) Constantin Schreiber (Autor und ARD-Moderator) Malcolm Ohanwe (Podcaster und Moderator) Jörg Pilawa (TV-Moderator) Katharina Hamberger (Journalistin) Nikolaus Blome (Journalist) (Text:ARD)"
maybrit-illner_902-putins-offensive-deutschland-weiter-defensiv-1545600,2022-04-21,Maybrit Illner,"Gäste: Sigmar Gabriel (SPD, Atlantik-Brücke, Bundesaußenminister a. D.), Roderich Kiesewetter (CDU, MdB, Oberst a. D. der Bundeswehr), Marina Weisband (B90/​Die Grünen, Publizistin, in Kiew geboren), Erich Vad (Brigadegeneral a. D., Merkel-Berater), Claudia Major (Sicherheitsexpertin SWP) Russland geht in eine nächste furchtbare Offensive, die Ukraine fordert umso dringlicher Öl- und Gas-Sanktionen und vor allem schwere Waffen zur Verteidigung. Und trifft damit Deutschland an den wunden Punkten: Die Abhängigkeit vom russischen Gas ist groß, die Bundeswehr am Ende ihrer Möglichkeiten und die Bundesregierung zögerlich mit direkten Lieferungen von Panzern und schwerem Gerät. Die CDU wirft Bundeskanzler Scholz vor, mitverantwortlich für die Wehrlosigkeit der Ukraine zu sein. Die Kritik an Berlin ist unüberhörbar, national wie international, und auch in der Ampel wächst der Unmut: Wenn die Fehler der Vergangenheit verstanden sind, wo bleibt dann die „Zeitenwende“? (Text:ZDF)"
anne-will_455-ein-halbes-jahr-corona-krise-geht-deutschland-mit-der-richtigen-strategie-in-den-herbst-1407053,2020-09-20,Anne Will,"Vor sechs Monaten traten in Deutschland die ersten weitreichenden Corona-Maßnahmen in Kraft. Infolgedessen sanken die Infektionszahlen. Mit unterschiedlichen Konzepten haben nun Schulen, Kitas und Restaurants in den Bundesländern wieder geöffnet und auch der Profi-Fußball sollte vor Publikum starten dürfen. Doch gerade das Eröffnungsspiel findet ohne Fans statt, denn die Fallzahlen steigen wieder. Der Virologe Christian Drosten warnt, dass sich die Lage wieder zuspitzen könnte. Sein Kollege Hendrik Streeck möchte hingegen den Fokus nicht mehr so stark auf die Infektionszahlen legen und fordert einen Strategiewechsel. In der Kritik steht auch das uneinheitliche Vorgehen der einzelnen Bundesländer. Während das DfB-Pokal-Spiel in Dresden vor über 10.000 Fans ausgetragen wurde, finden viele andere Veranstaltungen gar nicht oder sehr eingeschränkt statt. Hat Deutschland den richtigen Umgang mit der Pandemie gefunden? Braucht es einen Strategiewechsel für den Herbst und Winter? Kann Deutschland von Schwedens Umgang mit Corona lernen? Zu Gast bei Anne Will: Malu Dreyer (SPD, Ministerpräsidentin von Rheinland-Pfalz) Ranga Yogeshwar (Wissenschaftsjournalist) Hendrik Streeck (Direktor des Instituts für Virologie und HIV-Forschung an der Medizinischen Fakultät der Universität Bonn) Frank Ulrich Montgomery (Vorstandsvorsitzender des Weltärztebundes) Marina Weisband (Autorin und politische Aktivistin) (Text:ARD)"
maischberger-ard_866-sendung-vom-19-03-2025-1783664,2025-03-19,maischberger,"Milliarden für Verteidigung: Wie wird Deutschland wehrhaft? Im Studio der Generalinspekteur der Bundeswehr Carsten Breuer und der Professor für Internationale Politik und Militärexperte Carlo Masala. Der Fall Gisèle Pelicot aus Sicht der Tochter Im Gespräch Caroline Darian – fast zehn Jahre lang betäubte ihr Vater seine damalige Ehefrau Gisèle Pelicot, um sie fremden Männern zur Vergewaltigung zuzuführen. Es kommentieren: der Fernsehmoderator Johannes B. Kerner, die Herausgeberin von Media Pioneer Dagmar Rosenfeld sowie der Journalist und Podcaster Tilo Jung. (Text:3sat)"
maischberger-ard_839-sendung-vom-06-11-2024-innerhalb-des-brennpunkts-1754488,2024-11-06,maischberger,"Kurzes Gespräch von Sandra Maischberger mit Armin Laschet und Gesine Schwan. Ursprünglich war eine reguläre Ausgabe der Sendung „maischberger“ geplant, diese wurde allerdings durch eine kurze Schalte innerhalb des „Brennpunkts“ ersetzt. (Text:DB)"
markus-lanz_1257-folge-1257-1286665,2019-05-16,Markus Lanz,"Ranga Yogeshwar, Moderator Am 23. Mai 1949 wurde das Grundgesetz beschlossen. Yogeshwar sagt: „Das Grundgesetz ist sensationell!“ Der Wissenschaftsjournalist erklärt, welche Bedeutung es für ihn persönlich hat. Hajo Schumacher, Journalist und Autor Er sagt: „Es gibt zwei Ebenen, die vor 70 Jahren noch nicht auf dem Zettel waren. Die eine ist Europa, die andere ist die Digitalisierung.“ Schumacher spricht über 70 Jahre Grundgesetz. Janina Breitling, Journalistin Bevor ihr Sohn eingeschult wird, beschließt Breitling, mit ihm auf Weltreise zu gehen. Die Alleinerziehende erzählt von ihrem zweijährigen Trip und sagt, warum sie heute auf Bali lebt. Dr. Tankred Stöbe, Arzt Seit 17 Jahren ist Stöbe als Arzt in Krisengebieten für „Ärzte ohne Grenzen“ tätig. In der Sendung erzählt der Präsident der deutschen Organisation von seinen Einsätzen. (Text:ZDF)"
maischberger-ard_771-sendung-vom-10-10-2023-1669939,2023-10-10,maischberger,"Triumph für die Union, Debakel für die Ampelparteien und die AfD im Höhenflug: Welche Konsequenzen haben die Wahlen in Bayern und Hessen für die Bundespolitik? Kann die CDU auch bei den kommenden Landtagswahlen in den ostdeutschen Bundesländern von der Unzufriedenheit mit der Bundesregierung profitieren? Im Studio der Ministerpräsident von Sachsen Michael Kretschmer (CDU). Nach dem Terrorangriff der radikalislamischen Hamas am Samstag riegelt Israel den Gazastreifen komplett ab und intensiviert die Bombardierungen. Wird Israel auch Bodentruppen gegen die Hamas einsetzen? Wie groß ist die Gefahr eines Flächenbrands in der Region? Darüber sprechen der langjährige Vorsitzende der Münchner Sicherheitskonferenz Wolfgang Ischinger und der ehemalige Botschafter Israels in Deutschland Schimon Stein. Es erklären, kommentieren und diskutieren der Fernsehmoderator Günther Jauch, die stellvertretende „Spiegel“-Chefredakteurin Melanie Amann und die Chefreporterin von „The Pioneer“ Alev Doğan. (Text:ARD)"
maischberger-ard_742-sendung-vom-21-03-2023-1625930,2023-03-21,maischberger,"Chinas Staatschef Xi Jinping reist zu Wladimir Putin nach Moskau: Was bedeutet das Treffen für die Ukraine und den Westen? Steigen nun die Chancen auf Friedensverhandlungen? Darüber diskutieren der CDU-Außenpolitiker und Oberst a.D. Roderich Kiesewetter und der ehemalige Parteichef der SPD sowie der Linken und heute parteilose Oskar Lafontaine. Nach der spektakulären Rettung der strauchelnden Schweizer Großbank Credit Suisse: Droht Europa die nächste Bankenkrise? Braucht es mehr Regeln und Kontrollen im Finanzsektor? Im Studio der langjährige Präsident des ifo-Instituts für Wirtschaftsforschung Hans-Werner Sinn. Es diskutieren, kommentieren und erklären u.a. der Schauspieler Walter Sittler, der ZDF-Auslandskorrespondent Ulf Röller und die Welt-Journalistin Claudia Kade. Die Gäste: Roderich Kiesewetter, CDU (Außenpolitiker) Oskar Lafontaine (ehem. SPD- und Linken-Parteichef) Hans-Werner Sinn (Wirtschaftsexperte) Walter Sittler (Schauspieler) Ulf Röller (ZDF-Korrespondent) Claudia Kade (Die Welt) (Text:ARD)"
markus-lanz_1523-folge-1523-1460960,2021-04-29,Markus Lanz,"Katrin Göring-Eckardt, Politikerin Die Grünen-Politikerin nimmt Stellung zum Machtanspruch ihrer Partei sowie zur deren personeller und programmatischen Aufstellung bei der kommenden Bundestagswahl. Christiane Hoffmann, Journalistin Die „Spiegel“-Redakteurin analysiert die Gründe für Rekordumfragewerte von Bündnis 90/​Die Grünen. Und sie äußert sich zum Wahlprogramm der Partei. Prof. Alena Buyx, Ethikerin Die Vorsitzende des Deutschen Ethikrats gibt ihre Einschätzung zu den Ergebnissen des Impfgipfels und zur Debatte um die Aufhebung der Impfpriorisierung. Silke Diettrich, Journalistin Zugeschaltet aus Neu-Delhi informiert sie über die Corona-Situation in Indien mit über 300 000 Neuinfektionen täglich. Sie sagt: „Sauerstoff wird hier gehandelt, als wäre es flüssiges Gold.“ Prof. Michael Meyer-Hermann, Physiker Der System-Immunologe vom Braunschweiger Helmholtz-Zentrum erstellt Risikoeinschätzungen zum Verlauf von Epidemien. Er analysiert das Corona-Infektionsgeschehen in Deutschland. (Text:ZDF)"
